COUNTY,TESTER,ROSENDALE,BRECKENRIDGE,FIPS,POPULATION,COLLEGETOWN
Beaverhead,"1,876","2,866",155,"30,001","9,360",1
Big Horn,"3,027","1,558",91,"30,003","13,290",0
Blaine,"1,961",982,76,"30,005",6646,0
Broadwater,"1,071","2,086",104,"30,007","5,755",0
Carbon,"2,680","3,209",178,"30,009","10,466",0
Carter,128,602,22,"30,011","1,320",0
Cascade,"17,435","15,566","1,008","30,013","81,816",1
Chouteau,"1,275","1,312",70,"30,015","5,812",0
Custer,"1,942","2,762",179,"30,017","11,895",0
Daniels,281,631,29,"30,019","1,788",0
Dawson,"1,233","2,700",140,"30,021","9,324",0
Deer Lodge,"2,892","1,208",136,"30,023","9,131",0
Fallon,281,951,57,"30,025","2,925",0
Fergus,"1,964","3,640",189,"30,027","11,327",0
Flathead,"19,652","26,759","1,349","30,029","96,147",0
Gallatin,"33,251","21,248","1,434","30,031","100,733",1
Garfield,81,571,30,"30,033","1,086",0
Glacier,"3,754","1,153",89,"30,035","13,677",0
Golden Valley,130,303,21,"30,037",747,0
Granite,695,"1,046",52,"30,039","3,206",0
Hill,"3,729","2,434",227,"30,041","16,468",1
Jefferson,"2,954","3,653",226,"30,043","11,625",0
Judith Basin,388,752,51,"30,045","1,965",0
Lake,"6,916","6,491",365,"30,047","29,518",0
Lewis & Clark,"20,506","14,106",927,"30,049","66,290",1
Liberty,365,586,30,"30,051","2,245",0
Lincoln,"2,902","6,137",298,"30,053","19,249",0
Madison,"1,890","2,898",171,"30,057","7,902",0
McCone,227,773,29,"30,055","1,728",0
Meagher,319,629,28,"30,059","2,000",0
Mineral,785,"1,181",92,"30,061",4194,0
Missoula,"41,688","18,631","1,332","30,063","114,231",1
Musselshell,573,"1,743",116,"30,065",4766,0
Park,"5,114","4,357",253,"30,067","16,001",0
Petroleum,58,248,6,"30,069",453,0
Phillips,577,"1,426",79,"30,071","4,139",0
Pondera,"1,176","1,413",96,"30,073","6,081",0
Powder River,203,748,22,"30,075",1610,0
Powell,"1,026","1,641",93,"30,077","6,852",0
Prairie,177,450,26,"30,079",1325,0
Ravalli,"9,156","13,622",623,"30,081","41,387",0
Richland,"1,136","3,017",179,"30,083","11,405",0
Roosevelt,"2,013","1,346",88,"30,085","11,218",0
Rosebud,"1,511","1,765",91,"30,087","9,292",0
Sanders,"2,071","3,856",227,"30,089","11,414",0
Sheridan,712,"1,017",83,"30,091","3,568",0
Silver Bow,"11,672","4,246",394,"30,093","34,514",1
Stillwater,"1,501","3,206",157,"30,095","9,342",0
Sweet Grass,652,"1,372",74,"30,097","3,646",0
Teton,"1,290","1,784",83,"30,099","6,040",0
Toole,626,"1,208",69,"30,101","5,031",0
Treasure,129,279,6,"30,103",790,0
Valley,"1,545","2,137",200,"30,105","7,561",0
Wheatland,315,586,32,"30,107","2,108",0
Wibaux,140,390,12,"30,109","1,121",0
Yellowstone,"32,225","34,682","2,351","30,111","156,332",1